,Broj suseda,Spisak suseda
P0DTC5,211,"['A0A024R071', 'A0A024R374', 'A0A024R3H9', 'A0A024R3U8', 'A0A024R438', 'A0A024R451', 'A0A024R5M8', 'A0A024R6X4', 'A0A024R7X0', 'A0A024R882', 'A0A024RB08', 'A0A024RDC2', 'A0A0S2Z366', 'A0A0S2Z3L0', 'A0A0S2Z3P9', 'A0A0S2Z514', 'A0A0S2Z591', 'A0A0S2Z5H6', 'A0A140VJX1', 'A0A1L5BXV2', 'A0A1X7RBF7', 'A0A384NKJ3', 'A0A663DJA2', 'A3KLL5', 'A4D0W4', 'A4D1U4', 'A6NFN3', 'B7Z6P0', 'B7ZM99', 'D3YTB5', 'F2YGU2', 'G1UCX3', 'NP_001073866', 'O00217', 'O00471', 'O00482-4', 'O14981', 'O15063', 'O15287', 'O15354', 'O15374', 'O43852-15', 'O43929-2', 'O60318', 'O60674', 'O75306', 'O75439', 'O75691', 'O75841', 'O75947', 'O75953', 'O94788', 'O94829', 'O94919', 'O95070', 'O95772', 'O95786', 'O95864', 'P0DTC1', 'P0DTC2', 'P0DTC5', 'P0DTC6', 'P0DTC7', 'P0DTC9', 'P0DTD1', 'P0DTD8', 'P16219', 'P19634', 'P20700', 'P25686', 'P27144', 'P38435', 'P38606', 'P42695', 'P48047', 'P48556', 'P49810-3', 'P51636', 'P51649', 'P54707', 'P78527', 'Q00765', 'Q03135', 'Q03169', 'Q10713', 'Q13021', 'Q13114', 'Q13232', 'Q13608-3', 'Q15386', 'Q15758', 'Q16236', 'Q16585', 'Q3MJ13', 'Q4KMQ2', 'Q5JRX3', 'Q5T4D3', 'Q68DH5', 'Q6NT16', 'Q6SZW1', 'Q6UX53', 'Q6UX65', 'Q6ZT07', 'Q7L8L6', 'Q7Z3D6', 'Q7Z434', 'Q7Z4R8', 'Q86UA1', 'Q86UT6-2', 'Q8IWZ3', 'Q8N2H3', 'Q8N442', 'Q8NCN5', 'Q8NEW0', 'Q8NFQ8', 'Q8NHH9-5', 'Q8NI22', 'Q8TAG9', 'Q8WUM0', 'Q92791', 'Q92820', 'Q96A65', 'Q96CB8', 'Q96CW5', 'Q96D53', 'Q96HR9', 'Q96HW7', 'Q96JB5-2', 'Q96RL7', 'Q99720', 'Q99797', 'Q9BQT8', 'Q9BSJ2', 'Q9BW27', 'Q9BW92', 'Q9BXI2', 'Q9BYX4', 'Q9C029-3', 'Q9C0E2', 'Q9H2U2', 'Q9H7F0', 'Q9H9E3', 'Q9H9P8', 'Q9NQC3', 'Q9NQC3-6', 'Q9NV66', 'Q9NVI1', 'Q9UBQ6', 'Q9UBU6', 'Q9UDY4', 'Q9UHD2', 'Q9UI26', 'Q9ULX6', 'Q9UNE7', 'Q9UNS1', 'Q9UPT5', 'Q9Y312', 'Q9Y487', 'Q9Y672', 'Q9Y6D5', 'Q9Y6E2', 'XP_005244999', 'XP_005247565', 'XP_005254116', 'XP_005259911', 'XP_005259935', 'XP_005260487', 'XP_005261163', 'XP_005261969', 'XP_005264473', 'XP_005265883', 'XP_005268763', 'XP_005270012', 'XP_006711462', 'XP_006711619', 'XP_006712466', 'XP_006712606', 'XP_006714739', 'XP_006717973', 'XP_006718642', 'XP_006720763', 'XP_006722173', 'XP_006724050', 'XP_006725155', 'XP_006725474', 'XP_011514416', 'XP_011516237', 'XP_011517282', 'XP_011522186', 'XP_011523835', 'XP_011528462', 'XP_011531066', 'XP_011535590', 'XP_011535765', 'XP_011538615', 'XP_011539858', 'XP_011540006', 'XP_011543555', 'XP_016857361', 'XP_016864776', 'XP_016866942', 'XP_016869292', 'XP_016869692', 'XP_016870032', 'XP_016870054', 'XP_016870961', 'XP_016872628', 'XP_016876117', 'XP_016879599', 'XP_016882939', 'XP_016884180']"
P0DTC6,5,"['P0DTC5', 'P0DTC6', 'P0DTC7', 'P0DTD1', 'Q9UHD2']"
P0DTC7,20,"['A0A024R7X0', 'O14981', 'P0DTC1', 'P0DTC5', 'P0DTC6', 'P0DTC7', 'P0DTC9', 'P0DTD1', 'P42695', 'Q15386', 'Q86UT6-2', 'Q92820', 'Q96CB8', 'Q96HW7', 'Q9H9P8', 'Q9NVI1', 'Q9UI26', 'XP_005264473', 'XP_006718642', 'XP_006724050']"
P0DTC9,7,"['A0A663DJA2', 'O95786', 'P0DTC1', 'P0DTC5', 'P0DTC7', 'P0DTC9', 'P0DTD1']"
P0DTD1,12,"['A0A663DJA2', 'P0DTC1', 'P0DTC5', 'P0DTC6', 'P0DTC7', 'P0DTC9', 'P0DTD1', 'P0DTD8', 'Q99720', 'Q9BYX4', 'Q9H7F0', 'Q9UHD2']"
P0DTD8,14,"['P0DTC1', 'P0DTC5', 'P0DTD1', 'P0DTD8', 'P49810-3', 'Q00765', 'Q16585', 'Q6UX65', 'Q7Z434', 'Q9UBQ6', 'Q9UNE7', 'Q9UNS1', 'Q9Y672', 'XP_005268763']"
P16219,3,"['A0A0S2Z3L0', 'P0DTC5', 'P16219']"
P19634,1,['P0DTC5']
P20700,3,"['F2YGU2', 'P0DTC5', 'P20700']"
P25686,3,"['P0DTC5', 'Q9Y6D5', 'XP_016876117']"
P27144,2,"['A0A0S2Z3P9', 'P0DTC5']"
P38435,1,['P0DTC5']
P38606,9,"['A0A024R882', 'A0A0S2Z366', 'F2YGU2', 'O00217', 'O75306', 'P0DTC5', 'P38606', 'Q9Y487', 'XP_005247565']"
P42695,4,"['P0DTC5', 'P0DTC7', 'XP_005261969', 'XP_011539858']"
P48047,10,"['A0A024R882', 'A0A1X7RBF7', 'O00217', 'O75306', 'O75947', 'P0DTC1', 'P0DTC5', 'Q96D53', 'Q9NQC3-6', 'Q9Y312']"
P48556,2,"['P0DTC5', 'P48556']"
P49810-3,3,"['P0DTC5', 'P0DTD8', 'P49810-3']"
P51636,3,"['P0DTC5', 'Q03135', 'Q13021']"
P51649,2,"['P0DTC5', 'P51649']"
P54707,1,['P0DTC5']
P78527,5,"['F2YGU2', 'P0DTC5', 'P78527', 'Q9UHD2', 'Q9Y312']"
Q00765,4,"['A0A1L5BXV2', 'P0DTC5', 'P0DTD8', 'Q9Y487']"
Q03135,5,"['D3YTB5', 'P0DTC5', 'P51636', 'Q03135', 'Q13021']"
Q03169,1,['P0DTC5']
Q10713,2,"['O75439', 'P0DTC5']"
Q13021,3,"['P0DTC5', 'P51636', 'Q03135']"
Q13114,8,"['O95786', 'P0DTC5', 'Q13114', 'Q6SZW1', 'Q7Z434', 'Q86UT6-2', 'Q9BYX4', 'Q9UHD2']"
Q13232,3,"['P0DTC5', 'Q13232', 'Q9Y312']"
Q13608-3,1,['P0DTC5']
Q15386,4,"['P0DTC5', 'P0DTC7', 'Q15386', 'XP_006724050']"
Q15758,2,"['P0DTC5', 'Q15758']"
Q16236,1,['P0DTC5']
Q16585,2,"['P0DTC5', 'P0DTD8']"
Q3MJ13,1,['P0DTC5']
Q4KMQ2,1,['P0DTC5']
Q5JRX3,1,['P0DTC5']
Q5T4D3,1,['P0DTC5']
Q68DH5,1,['P0DTC5']
Q6NT16,1,['P0DTC5']
Q6SZW1,5,"['D3YTB5', 'P0DTC5', 'Q13114', 'Q6SZW1', 'Q86UT6-2']"
Q6UX53,2,"['P0DTC5', 'Q9NQC3-6']"
Q6UX65,2,"['P0DTC5', 'P0DTD8']"
Q6ZT07,1,['P0DTC5']
Q7L8L6,3,"['F2YGU2', 'P0DTC5', 'Q86UT6-2']"
Q7Z3D6,2,"['P0DTC5', 'Q7Z3D6']"
Q7Z434,9,"['O95786', 'P0DTC5', 'P0DTD8', 'Q13114', 'Q7Z434', 'Q86UT6-2', 'Q9BYX4', 'Q9UHD2', 'Q9Y6E2']"
Q7Z4R8,1,['P0DTC5']
Q86UA1,3,"['F2YGU2', 'P0DTC5', 'Q86UA1']"
Q86UT6-2,7,"['P0DTC5', 'P0DTC7', 'Q13114', 'Q6SZW1', 'Q7L8L6', 'Q7Z434', 'XP_011516237']"
Q8IWZ3,1,['P0DTC5']
Q8N2H3,1,['P0DTC5']
Q8N442,2,"['F2YGU2', 'P0DTC5']"
Q8NCN5,2,"['P0DTC5', 'Q9H2U2']"
Q8NEW0,1,['P0DTC5']
Q8NFQ8,2,"['P0DTC5', 'XP_016870054']"
Q8NHH9-5,1,['P0DTC5']
Q8NI22,1,['P0DTC5']
Q8TAG9,5,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q96A65', 'Q9UPT5']"
Q8WUM0,5,"['A0A024R071', 'P0DTC5', 'Q8WUM0', 'Q9BW27', 'XP_011538615']"
Q92791,1,['P0DTC5']
Q92820,3,"['P0DTC5', 'P0DTC7', 'Q92820']"
Q96A65,4,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q9UPT5']"
Q96CB8,2,"['P0DTC5', 'P0DTC7']"
Q96CW5,2,"['P0DTC5', 'Q9BSJ2']"
Q96D53,7,"['O75439', 'O75947', 'P0DTC5', 'P48047', 'Q96D53', 'XP_016870032', 'XP_016870961']"
Q96HR9,2,"['P0DTC5', 'Q96HR9']"
Q96HW7,2,"['P0DTC5', 'P0DTC7']"
Q96JB5-2,1,['P0DTC5']
Q96RL7,1,['P0DTC5']
Q99720,5,"['A0A024R882', 'A0A140VJX1', 'P0DTC5', 'P0DTD1', 'Q99720']"
Q99797,1,['P0DTC5']
Q9BQT8,1,['P0DTC5']
