,Broj suseda,Spisak suseda
P0DTC5,259,"['A4D1U4', 'A6NFN3', 'A7KAX9', 'O00165', 'O00217', 'O00471', 'O00482', 'O00499', 'O14678', 'O14981', 'O15063', 'O15069', 'O15287', 'O15354', 'O15374', 'O43251', 'O43399', 'O43747', 'O43752', 'O43826', 'O43852', 'O43929', 'O60318', 'O60499', 'O60674', 'O60684', 'O75306', 'O75439', 'O75448', 'O75629', 'O75691', 'O75694', 'O75841', 'O75947', 'O75953', 'O76082', 'O94788', 'O94822', 'O94829', 'O94868', 'O94919', 'O95070', 'O95299', 'O95772', 'O95786', 'O95864', 'P00403', 'P00748', 'P01031', 'P01042', 'P05026', 'P05165', 'P05166', 'P07093', 'P07858', 'P08236', 'P0C0L4-PRO_0000042698', 'P0C0L5-PRO_0000042704', 'P0DTC4', 'P0DTC5', 'P0DTC6', 'P0DTC7', 'P0DTC9', 'P0DTD1-PRO_0000449619', 'P0DTD1-PRO_0000449629', 'P0DTD8', 'P11310', 'P11498', 'P11717', 'P13804', 'P16219', 'P18850', 'P19634', 'P20700', 'P24752', 'P25686', 'P27105', 'P27144', 'P35670', 'P35916', 'P36956', 'P38435', 'P38606', 'P42126', 'P42695', 'P42898', 'P45954', 'P48047', 'P48556', 'P49116', 'P49590', 'P49810', 'P50542', 'P51589', 'P51617', 'P51636', 'P51649', 'P52292', 'P54707', 'P61966', 'P78527', 'P78545', 'P98198', 'Q00765', 'Q02153', 'Q03135', 'Q03169', 'Q05932', 'Q07021-PRO_0000018590', 'Q0JRZ9', 'Q10713', 'Q12767', 'Q12959', 'Q13021', 'Q13114', 'Q13232', 'Q13608', 'Q14164', 'Q14653', 'Q15054', 'Q15386', 'Q15758', 'Q16236', 'Q16585', 'Q16890', 'Q3MJ13', 'Q4KMQ2', 'Q53H96', 'Q53HI1', 'Q58EX7', 'Q5BJH7', 'Q5HYK7', 'Q5JRX3', 'Q5SWX8', 'Q5T3U5', 'Q5T4D3', 'Q5XKP0', 'Q68DH5', 'Q6IBW4', 'Q6NT16', 'Q6P3X3', 'Q6PML9', 'Q6SZW1', 'Q6UB35', 'Q6UVM3', 'Q6UX53', 'Q6UX65', 'Q6ZT07', 'Q709C8', 'Q75V66', 'Q7L8L6', 'Q7Z3C6', 'Q7Z3D6', 'Q7Z401', 'Q7Z434', 'Q7Z4H7', 'Q7Z4R8', 'Q86UA1', 'Q86UT6', 'Q86VP1', 'Q86YS7', 'Q8IVF2', 'Q8IW50', 'Q8IWZ3', 'Q8IZQ1', 'Q8N2H3', 'Q8N442', 'Q8N5G2', 'Q8NCN5', 'Q8ND30', 'Q8NDA8', 'Q8NEN9', 'Q8NEW0', 'Q8NFQ8', 'Q8NHH9', 'Q8NI22', 'Q8TAG9', 'Q8TDY4', 'Q8TEY7', 'Q8WUM0', 'Q8WVV5', 'Q8WWC4', 'Q8WXA3', 'Q92538', 'Q92791', 'Q92820', 'Q93084', 'Q969N2', 'Q96A65', 'Q96CB8', 'Q96CM8', 'Q96CW5', 'Q96D53', 'Q96ED9', 'Q96ER3', 'Q96HR9', 'Q96HU1', 'Q96HW7', 'Q96I59', 'Q96JB5', 'Q96JI7', 'Q96MT1', 'Q96NT5', 'Q96Q80', 'Q96RL7', 'Q96RQ1', 'Q99675', 'Q99720', 'Q99797', 'Q99963', 'Q9BQT8', 'Q9BRK5', 'Q9BSJ2', 'Q9BW27', 'Q9BW92', 'Q9BXI2', 'Q9BXS5', 'Q9BYX4', 'Q9BZD2', 'Q9C029', 'Q9C0E2', 'Q9H019', 'Q9H1H9', 'Q9H2U2', 'Q9H4G0', 'Q9H7F0', 'Q9H9E3', 'Q9H9P8', 'Q9NQC3', 'Q9NV64', 'Q9NV66', 'Q9NVI1', 'Q9P2G1', 'Q9UBQ6', 'Q9UBU6', 'Q9UDR5', 'Q9UDY4', 'Q9UHD2', 'Q9UI26', 'Q9UIX4', 'Q9UKV5', 'Q9ULX6', 'Q9UMY4', 'Q9UNE7', 'Q9UNF0', 'Q9UNS1', 'Q9UP95', 'Q9UPM8', 'Q9UPT5', 'Q9Y2W3', 'Q9Y312', 'Q9Y426', 'Q9Y487', 'Q9Y5Y2', 'Q9Y672', 'Q9Y6A1', 'Q9Y6D5', 'Q9Y6D6', 'Q9Y6E2']"
P0DTC6,8,"['P0DTC4', 'P0DTC5', 'P0DTC9', 'P0DTD8', 'P52292', 'Q96HR9', 'Q99963', 'Q9UHD2']"
P0DTC7,18,"['O14981', 'O43852', 'O94822', 'P0DTC5', 'P0DTC7', 'P0DTD1-PRO_0000449619', 'P0DTD8', 'P11498', 'P42695', 'Q15386', 'Q6P3X3', 'Q86UT6', 'Q96CB8', 'Q96HW7', 'Q9H9P8', 'Q9NVI1', 'Q9UI26', 'Q9Y6D6']"
P0DTC9,12,"['O95786', 'P00748', 'P01042', 'P0DTC4', 'P0DTC5', 'P0DTC6', 'P0DTC9', 'P0DTD1-PRO_0000449619', 'P0DTD1-PRO_0000449629', 'P0DTD8', 'Q07021-PRO_0000018590', 'Q9ULX6']"
P0DTD1-PRO_0000449619,6,"['P0DTC5', 'P0DTC7', 'P0DTC9', 'P0DTD1-PRO_0000449629', 'P0DTD8', 'Q7Z4H7']"
P0DTD1-PRO_0000449629,5,"['P0DTC5', 'P0DTC9', 'P0DTD1-PRO_0000449619', 'P0DTD1-PRO_0000449629', 'Q9BXI2']"
P0DTD8,23,"['O43752', 'O43852', 'O60499', 'P0DTC4', 'P0DTC5', 'P0DTC6', 'P0DTC7', 'P0DTC9', 'P0DTD1-PRO_0000449619', 'P0DTD8', 'P11717', 'P49810', 'Q00765', 'Q16585', 'Q4KMQ2', 'Q5XKP0', 'Q6UX65', 'Q7Z434', 'Q8WXA3', 'Q9UBQ6', 'Q9UNE7', 'Q9UNS1', 'Q9Y672']"
P11310,2,"['P0DTC5', 'P11310']"
P11498,3,"['P0DTC5', 'P0DTC7', 'P11498']"
P11717,3,"['P0DTC5', 'P0DTD8', 'P11717']"
P13804,5,"['P0DTC5', 'P51617', 'P78545', 'Q14164', 'Q8WWC4']"
P16219,1,['P0DTC5']
P18850,3,"['O00499', 'P0DTC5', 'P18850']"
P19634,1,['P0DTC5']
P20700,4,"['O60684', 'P0DTC5', 'P20700', 'P36956']"
P24752,1,['P0DTC5']
P25686,2,"['P0DTC5', 'P25686']"
P27105,14,"['O43752', 'O75947', 'O94829', 'O94919', 'O95772', 'P00403', 'P0DTC5', 'P27105', 'P38606', 'P48047', 'Q969N2', 'Q96ER3', 'Q99720', 'Q9UI26']"
P27144,1,['P0DTC5']
P35670,2,"['P0DTC5', 'P35670']"
P35916,2,"['P0DTC5', 'P35916']"
P36956,3,"['P0DTC5', 'P20700', 'P36956']"
P38435,1,['P0DTC5']
P38606,4,"['P0DTC5', 'P27105', 'P38606', 'Q92820']"
P42126,1,['P0DTC5']
P42695,9,"['O00217', 'O00499', 'O43399', 'P0DTC5', 'P0DTC7', 'P48047', 'Q6IBW4', 'Q8NHH9', 'Q8WWC4']"
P42898,1,['P0DTC5']
P45954,1,['P0DTC5']
P48047,6,"['P0DTC5', 'P27105', 'P42695', 'P51636', 'Q14164', 'Q8WWC4']"
P48556,1,['P0DTC5']
P49116,2,"['P0DTC5', 'P49116']"
P49590,2,"['P0DTC5', 'P49590']"
