,Broj suseda,Spisak suseda
Q9BSH3,1,['Q8N8Y2']
Q9BT30,1,['Q9H1P6']
Q9BTV4,1,['P11684']
Q9BVN2,1,['Q8N8Y2']
Q9BVX2,1,['P11686']
Q9BWX5,1,['O15496']
Q9BZP6,2,"['Q5RI15', 'Q92609']"
Q9H1P6,14,"['O95198', 'P54284', 'P80188', 'Q14192', 'Q5JVL4', 'Q6DKK2', 'Q86U10', 'Q86UW9', 'Q93062', 'Q99471', 'Q9BT30', 'Q9NZN8', 'Q9UI95', 'Q9Y2M5']"
Q9H7M9,1,['Q9NV29']
Q9H902,1,['Q9NV29']
Q9NPA2,1,['P50222']
Q9NPL8,1,['Q8TD06']
Q9NQ75,4,"['O14613', 'Q13643', 'Q15942', 'Q7Z6G8']"
Q9NRX6,1,['Q9NV29']
Q9NUH8,1,['Q8TD06']
Q9NV29,22,"['O14863', 'O95471', 'P15260', 'P20138', 'P21964', 'Q16623', 'Q2TAC2', 'Q4KMG9', 'Q6ZMZ0', 'Q7Z5P4', 'Q86VR2', 'Q86WV6', 'Q8N1F7', 'Q8N3G9', 'Q8N5M9', 'Q96HE8', 'Q96TC7', 'Q9BS91', 'Q9H7M9', 'Q9H902', 'Q9NRX6', 'Q9Y282']"
Q9NVV5,1,['O95436']
Q9NWN3,1,['P05187']
Q9NZN8,1,['Q9H1P6']
Q9UI95,1,['Q9H1P6']
Q9UKR5,1,['O95436']
Q9UKT9,1,['Q8N8Y2']
Q9ULV5,1,['O15496']
Q9UMX0,1,['Q8TD06']
Q9Y223,1,['O15496']
Q9Y282,1,['Q9NV29']
Q9Y2M5,1,['Q9H1P6']
Q9Y336,1,['P11686']
Q9Y6I9,1,['O95436']
