,Broj suseda,Spisak suseda
P42695,2,"['P0DTC5', 'Q6IBW4']"
P45954,1,['P0DTC5']
P48047,5,"['P0DTC5', 'P27105', 'P51636', 'Q14164', 'Q8WWC4']"
P48556,1,['P0DTC5']
P49116,2,"['P0DTC5', 'P49116']"
P49590,2,"['P0DTC5', 'P49590']"
P49810,2,"['P0DTC5', 'Q8TAG9']"
P51617,4,"['O43852', 'P0DTC5', 'P51617', 'Q9UNE7']"
P51636,4,"['O75947', 'P0DTC5', 'P48047', 'Q03135']"
P51649,2,"['P0DTC5', 'P51649']"
P54707,1,['P0DTC5']
P78527,1,['P0DTC5']
P78545,3,"['P0DTC5', 'P13804', 'Q16236']"
P98198,1,['P0DTC5']
Q00765,3,"['P0DTC5', 'Q96HR9', 'Q9Y487']"
Q03135,2,"['P0DTC5', 'P51636']"
Q03169,1,['P0DTC5']
Q05932,2,"['P0DTC5', 'Q8NFQ8']"
Q10713,4,"['O75439', 'P0DTC5', 'Q8WWC4', 'Q96D53']"
Q13021,1,['P0DTC5']
Q13114,4,"['P0DTC5', 'Q13114', 'Q14164', 'Q9UHD2']"
Q13232,1,['P0DTC5']
Q13608,1,['P0DTC5']
Q14164,9,"['P0DTC5', 'P13804', 'P48047', 'Q13114', 'Q14164', 'Q14653', 'Q7Z434', 'Q9BYX4', 'Q9UHD2']"
Q14653,5,"['P0DTC5', 'Q14164', 'Q14653', 'Q7Z434', 'Q9UHD2']"
Q15054,1,['P0DTC5']
Q15386,1,['P0DTC5']
Q15758,2,"['P0DTC5', 'Q15758']"
Q16236,2,"['P0DTC5', 'P78545']"
Q16585,1,['P0DTC5']
Q3MJ13,1,['P0DTC5']
Q4KMQ2,1,['P0DTC5']
Q53H96,2,"['P0DTC5', 'Q53H96']"
Q53HI1,1,['P0DTC5']
Q58EX7,1,['P0DTC5']
Q5BJH7,2,"['O15354', 'P0DTC5']"
Q5JRX3,2,"['P0DTC5', 'Q96D53']"
Q5SWX8,1,['P0DTC5']
Q5T3U5,1,['P0DTC5']
Q5T4D3,1,['P0DTC5']
Q68DH5,1,['P0DTC5']
Q6IBW4,2,"['P0DTC5', 'P42695']"
Q6NT16,1,['P0DTC5']
Q6P3X3,1,['P0DTC5']
Q6PML9,1,['P0DTC5']
Q6SZW1,2,"['P0DTC5', 'Q6SZW1']"
Q6UB35,1,['P0DTC5']
Q6UX53,1,['P0DTC5']
Q6UX65,1,['P0DTC5']
Q6ZT07,1,['P0DTC5']
Q7L8L6,2,"['P0DTC5', 'Q86UT6']"
Q7Z3C6,2,"['P0DTC5', 'Q9UHD2']"
Q7Z3D6,1,['P0DTC5']
Q7Z434,10,"['O95786', 'P0DTC5', 'Q13114', 'Q14164', 'Q14653', 'Q7Z434', 'Q86UT6', 'Q9BYX4', 'Q9UHD2', 'Q9Y6E2']"
Q7Z4H7,2,"['P0DTC5', 'Q86UT6']"
Q7Z4R8,1,['P0DTC5']
Q86UA1,1,['P0DTC5']
Q86UT6,3,"['P0DTC5', 'Q7L8L6', 'Q7Z4H7']"
Q8IWZ3,1,['P0DTC5']
Q8IZQ1,1,['P0DTC5']
Q8N2H3,1,['P0DTC5']
Q8N442,1,['P0DTC5']
Q8N5G2,1,['P0DTC5']
Q8NCN5,1,['P0DTC5']
Q8NDA8,1,['P0DTC5']
Q8NEW0,1,['P0DTC5']
Q8NFQ8,1,['P0DTC5']
Q8NHH9,1,['P0DTC5']
Q8NI22,1,['P0DTC5']
Q8TAG9,6,"['O00471', 'P0DTC5', 'P49810', 'Q8TAG9', 'Q96A65', 'Q9UPT5']"
Q8WUM0,2,"['P0DTC5', 'Q9BW27']"
Q8WWC4,8,"['O75306', 'O75439', 'P0DTC5', 'P13804', 'P48047', 'Q10713', 'Q96CM8', 'Q9BW92']"
Q8WXA3,1,['P0DTC5']
Q92538,1,['P0DTC5']
Q92791,1,['P0DTC5']
Q92820,2,"['P0DTC5', 'P38606']"
Q93084,1,['P0DTC5']
Q969N2,2,"['P0DTC5', 'P27105']"
Q96A65,4,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q9UPT5']"
Q96CB8,2,"['O43852', 'P0DTC5']"
Q96CM8,2,"['P0DTC5', 'Q8WWC4']"
Q96CW5,2,"['P0DTC5', 'Q9BSJ2']"
Q96D53,4,"['O75439', 'P0DTC5', 'Q10713', 'Q5JRX3']"
Q96ED9,2,"['P0DTC5', 'Q96ED9']"
Q96ER3,2,"['P0DTC5', 'P27105']"
Q96HR9,4,"['P0DTC5', 'P0DTC6', 'Q00765', 'Q96HR9']"
Q96HU1,1,['P0DTC5']
Q96HW7,1,['P0DTC5']
Q96I59,1,['P0DTC5']
Q96JB5,1,['P0DTC5']
Q96JI7,1,['P0DTC5']
Q96MT1,1,['P0DTC5']
Q96NT5,2,"['P0DTC5', 'Q96NT5']"
Q96Q80,1,['P0DTC5']
Q96RL7,1,['P0DTC5']
Q96RQ1,1,['P0DTC5']
Q99720,3,"['P0DTC5', 'P27105', 'Q99720']"
Q99797,1,['P0DTC5']
Q9BQT8,1,['P0DTC5']
Q9BRK5,2,"['P0DTC5', 'Q9Y6D5']"
Q9BSJ2,2,"['P0DTC5', 'Q96CW5']"
Q9BW27,2,"['P0DTC5', 'Q8WUM0']"
Q9BW92,2,"['P0DTC5', 'Q8WWC4']"
Q9BXI2,2,"['P0DTC5', 'P0DTD1-PRO_0000449629']"
Q9BYX4,4,"['P0DTC5', 'Q14164', 'Q7Z434', 'Q9BYX4']"
Q9BZD2,1,['P0DTC5']
Q9C029,1,['P0DTC5']
Q9C0E2,1,['P0DTC5']
Q9H019,2,"['P0DTC5', 'Q9BRK5']"
Q9H2U2,2,"['P0DTC5', 'Q96CM8']"
Q9H7F0,1,['P0DTC5']
Q9H9E3,2,"['P0DTC5', 'Q9H9E3']"
Q9H9P8,1,['P0DTC5']
Q9NQC3,3,"['P0DTC5', 'Q6UX53', 'Q9NQC3']"
Q9NV66,2,"['P0DTC5', 'Q9Y487']"
Q9NVI1,1,['P0DTC5']
Q9UBQ6,1,['P0DTC5']
Q9UBU6,1,['P0DTC5']
Q9UDR5,1,['P0DTC5']
Q9UDY4,2,"['O75953', 'P0DTC5']"
Q9UHD2,8,"['P0DTC5', 'P0DTC6', 'Q13114', 'Q14164', 'Q14653', 'Q7Z3C6', 'Q7Z434', 'Q9UHD2']"
Q9UI26,2,"['P0DTC5', 'P27105']"
Q9ULX6,1,['P0DTC5']
Q9UNE7,3,"['O00471', 'P0DTC5', 'P51617']"
Q9UNS1,1,['P0DTC5']
Q9UPT5,5,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q96A65', 'Q9Y6D5']"
Q9Y2W3,1,['P0DTC5']
Q9Y312,1,['P0DTC5']
Q9Y426,1,['P0DTC5']
Q9Y487,3,"['P0DTC5', 'Q00765', 'Q9NV66']"
Q9Y5Y2,1,['P0DTC5']
Q9Y672,1,['P0DTC5']
Q9Y6A1,1,['P0DTC5']
Q9Y6D5,4,"['P0DTC5', 'Q9BRK5', 'Q9UPT5', 'Q9Y6D6']"
Q9Y6D6,2,"['P0DTC5', 'Q9Y6D5']"
Q9Y6E2,3,"['O94919', 'P0DTC5', 'Q7Z434']"
